X,Ana,Eth,Glu,Nit,Ypd
YPR1,1,1,1,1,0
YPR170W-B,1,1,1,0,0
YPR172W,1,1,1,1,0
YPR196W,1,3,3,0,0
YPT1,0,1,1,0,0
YPT32,0,0,1,0,0
YPT7,1,2,2,2,1
YRB30,0,1,1,0,0
YRM1,0,1,1,0,0
YRR1,1,2,2,1,0
YVC1,2,2,2,2,0
ZAP1,1,1,1,1,0
ZEO1,1,1,1,1,0
ZWF1,0,2,1,1,0
PCT1,0,0,0,0,1
YER137C,0,0,0,0,1
